Word,Count,POS,Definition
amino,5,n,the radical -NH2
Amish,5,n,an American follower of the Mennonite religion
amity,5,n,a cordial disposition
amity,5,n,a state of friendship and cordiality
Amman,5,n,the capital and largest city of Jordan
amora,5,n,one of a group of rabbis (active AD 250-500) who discussed the Mishnaic law in the law schools of Palestine and Mesopotamia where they explained and applied earlier teachings and whose discussions are recorded in the Talmud; they emphasized the study of Torah and the importance of personal action and the fulfillment of the commandments
Anasa,5,n,squash bugs
Andes,5,n,a mountain range in South America running 5000 miles along the Pacific coast
Angas,5,n,a Chadic language spoken in northern Nigeria and closely related to Hausa
Angel,5,n,the highest waterfall; has more than one leap; flow varies seasonally
angel,5,n,spiritual being attendant upon God
angel,5,n,invests in a theatrical production
anger,5,n,a strong emotion; a feeling that is oriented toward some real or supposed grievance
anger,5,n,the state of being angry
Angle,5,n,a member of a Germanic people who conquered England and merged with the Saxons and Jutes to become Anglo-Saxons
angle,5,n,the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians
angst,5,n,an acute but unspecific feeling of anxiety; usually reserved for philosophical anxiety about the world or about personal freedom
anima,5,n,(Jungian psychology) the inner self (not the external persona) that is in touch with the unconscious
anime,5,n,"a style of animation developed in Japan, characterized by stylized colorful art and often adult themes"
anime,5,n,any of various resins or oleoresins
anion,5,n,a negatively charged ion
anise,5,n,"liquorice-flavored seeds, used medicinally and in cooking and liquors"
anise,5,n,native to Egypt but cultivated widely for its aromatic seeds and the oil from them used medicinally and as a flavoring in cookery
anjou,5,n,a pear with firm flesh and a green skin
Anjou,5,n,a former province of western France in the Loire valley
ankle,5,n,a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
ankus,5,n,an elephant goad with a sharp spike and a hook
annex,5,n,an addition that extends a main building
annum,5,n,(Latin) year; per annum
anode,5,n,a positively charged electrode by which electrons leave an electrical device
anode,5,n,the negatively charged terminal of a voltaic cell or storage battery that supplies current
Anser,5,n,typical geese
antic,5,n,a ludicrous or grotesque act done for fun and amusement
Antum,5,n,Babylonian consort of Anu
anvil,5,n,a heavy block of iron or steel on which hot metals are shaped by hammering
Anzac,5,n,a soldier in the Australian and New Zealand army corps during World War I
Anzio,5,n,a town of central Italy on the Tyrrhenian Sea; the Allies established a beachhead at Anzio in World War II
aorta,5,n,the large trunk artery that carries blood from the left ventricle of the heart to branch arteries
Aotus,5,n,douroucoulis
apery,5,n,the act of mimicking; imitative behavior
aphid,5,n,any of various small plant-sucking insects
Aphis,5,n,type genus of the Aphididae: injurious to fruit trees and vegetables
Apios,5,n,twining perennial North American plants
Apium,5,n,celery
apnea,5,n,transient cessation of respiration
apple,5,n,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
apple,5,n,native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits
appro,5,n,an informal British abbreviation of approval; he accepted it on appro
April,5,n,the month following March and preceding May
apron,5,n,a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing
apron,5,n,a paved surface where aircraft stand while not being used
apron,5,n,(golf) the part of the fairway leading onto the green
arame,5,n,an edible seaweed with a mild flavor
Arawn,5,n,Celtic deity who was the lord of Annwfn (the other world or the land of fairies)
arbor,5,n,a framework that supports climbing plants; the arbor provided a shady resting place in the park
arbor,5,n,tree (as opposed to shrub)
arcus,5,n,a whitish deposit in the shape of an arc that is sometimes seen in the cornea
Ardea,5,n,type genus of the Ardeidae: large New and Old World herons
ardeb,5,n,a unit of dry measure used in Egypt
ardor,5,n,feelings of great warmth and intensity; he spoke with great ardor
ardor,5,n,intense feeling of love
ardor,5,n,a feeling of strong eagerness (usually in favor of a person or cause); they were imbued with a revolutionary ardor; he felt a kind of religious zeal
areca,5,n,any of several tall tropical palms native to southeastern Asia having egg-shaped nuts
arena,5,n,a playing field where sports events take place
arena,5,n,the central area of an ancient Roman amphitheater where contests and spectacles were held; especially an area that was strewn with sand
arete,5,n,a sharp narrow ridge found in rugged mountains
argil,5,n,a white clay (especially a white clay used by potters)
argon,5,n,a colorless and odorless inert gas; one of the six inert gases; comprises approximately 1% of the earth's atmosphere
Argos,5,n,an ancient city in southeastern Greece; dominated the Peloponnese in the 7th century BC
Argun,5,n,a river in eastern Asia that arises in China and flows northeast along the border between China and Russia to become a tributary of the Amur River
argus,5,n,large brilliantly patterned East Indian pheasant
Argus,5,n,(Greek mythology) a giant with 100 eyes; was guardian of the heifer Io and was slain by Hermes
Arhat,5,n,a Buddhist who has attained nirvana
Arhus,5,n,port city of Denmark in eastern Jutland
Aries,5,n,the first sign of the zodiac which the sun enters at the vernal equinox; the sun is in this sign from about March 21 to April 19
Aries,5,n,a small zodiacal constellation in the northern hemisphere; between Pisces and Taurus
Aries,5,n,(astrology) a person who is born while the sun is in Aries
arity,5,n,the number of arguments that a function can take
Arius,5,n,type genus of the Ariidae: sea catfishes
Arius,5,n,a Greek who was a Christian theologian active in Alexandria and who was declared a heretic for his doctrines about God (which came to be known as Arianism) (256?-336)
armet,5,n,a medieval helmet with a visor and a neck guard
