Word,Count,POS,Synonyms
boney,5,satellite,scraggy;scrawny;skinny;underweight;weedy
bonny,5,satellite,bonnie;comely;fair;sightly
boozy,5,satellite,bibulous;drunken;sottish
bored,5,verb,bore;tire|bore;drill
bored,5,satellite,world-weary|blase
boric,5,adjective,boracic
bosky,5,satellite,brushy
bossy,5,satellite,autocratic;dominating;high-and-mighty;magisterial;peremptory
bound,5,noun,boundary;edge|boundary;bounds|limit;boundary|leap;leaping;spring;saltation;bounce
bound,5,verb,jump;leap;spring|border|restrict;restrain;trammel;limit;confine;throttle|bounce;resile;take a hop;spring;rebound;recoil;reverberate;ricochet|adhere;hold fast;bond;bind;stick;stick to|bind;tie;attach;bond|bind|bind;bandage|tie down;tie up;bind;truss|oblige;bind;hold;obligate|bind|tie;bind|bind|constipate;bind
bound,5,satellite,destined|bandaged|destined|apprenticed;articled;indentured
bovid,5,adjective,bovine
bowed,5,verb,bow;bow down|submit;bow;defer;accede;give in|bow|crouch;stoop;bend;bow|bow
bowed,5,satellite,arced;arched;arching;arciform;arcuate|bandy;bandy-legged;bowleg;bowlegged|bowing
boxed,5,verb,box;package|box|box
boxed,5,satellite,boxed-in;boxed in
braky,5,satellite,brambly
brash,5,satellite,cheeky;nervy
brave,5,verb,weather;endure;brave out
brave,5,adjective,courageous
brave,5,satellite,audacious;dauntless;fearless;hardy;intrepid;unfearing|braw;gay
brief,5,noun,legal brief
brief,5,satellite,abbreviated
briny,5,noun,main
briny,5,satellite,brackish
brisk,5,verb,brisk up;brisken
brisk,5,satellite,alert;lively;merry;rattling;snappy;spanking;zippy|bracing;fresh;refreshing;refreshful;tonic
broad,5,adjective,wide
broad,5,satellite,across-the-board;all-embracing;all-encompassing;all-inclusive;blanket;encompassing;extensive;panoptic;wide|unspecific|unsubtle|full|spacious;wide|large-minded;liberal;tolerant
broke,5,verb,interrupt;break|break;separate;split up;fall apart;come apart|break|break;bust|break|transgress;offend;infract;violate;go against;breach;break|break;break out;break away|break|break;burst;erupt|break;break off;discontinue;stop|break in;break|break in;break|violate;go against;break|better;break|unwrap;disclose;let on;bring out;reveal;discover;expose;divulge;break;give away;let out|break|fail;go bad;give way;die;give out;conk out;go;break;break down|break;break away|break|break|dampen;damp;soften;weaken;break|break|break|break|break|break|break|break|break|break|separate;part;split up;split;break;break up|demote;bump;relegate;break;kick downstairs|bankrupt;ruin;break;smash|break|break|collapse;fall in;cave in;give;give way;break;founder|break dance;break-dance;break|break|break;break up|break|break|break;wear;wear out;bust;fall apart|break;break off;snap off|break|break|break;get out;get around|pause;intermit;break|break|break|break|break|break|break;recrudesce;develop|crack;check;break|break|break|fracture;break|break|break
broke,5,satellite,bust;skint;stone-broke;stony-broke
brown,5,noun,brownness|Brown;Robert Brown|Brown;John Brown|Brown University;Brown
brown,5,verb,embrown
brown,5,satellite,brownish;chocolate-brown;dark-brown|browned
brusk,5,satellite,brusque;curt;short
brute,5,noun,beast;wolf;savage;wildcat|animal;animate being;beast;creature;fauna
brute,5,satellite,beastly;bestial;brutish;brutal
buggy,5,noun,roadster
buggy,5,satellite,balmy;barmy;bats;batty;bonkers;cracked;crackers;daft;dotty;fruity;haywire;kooky;kookie;loco;loony;loopy;nuts;nutty;round the bend;around the bend;wacky;whacky
built,5,verb,construct;build;make|build up;work up;build;progress|build;establish|build|build|build|build|build|build up;work up;build;ramp up|build
built,5,satellite,reinforced
bulgy,5,satellite,bellied;bellying;bulbous;bulging;protuberant
bully,5,noun,tough;hooligan;ruffian;roughneck;rowdy;yob;yobo;yobbo
bully,5,verb,strong-arm;browbeat;bullyrag;ballyrag;boss around;hector;push around|browbeat;swagger
bully,5,satellite,bang-up;corking;cracking;dandy;great;groovy;keen;neat;nifty;not bad;peachy;slap-up;swell;smashing
bumpy,5,adjective,rough;rocky;jolty;jolting;jumpy
burly,5,satellite,beefy;husky;strapping;buirdly
burnt,5,verb,burn;fire;burn down|burn;glow|burn;combust|bite;sting;burn|burn;combust|burn|burn;incinerate|burn|burn|burn|cauterize;cauterise;burn|sunburn;burn|cut;burn|burn off;burn;burn up|burn
burnt,5,satellite,burned|burned|burned;burned-over;burned-out;burnt-out
burry,5,satellite,barbed;barbellate;briary;briery;bristled;bristly;burred;prickly;setose;setaceous;spiny;thorny
bushy,5,satellite,shaggy;shaggy-haired;shaggy-coated
busty,5,satellite,bosomy;buxom;curvaceous;curvy;full-bosomed;sonsie;sonsy;stacked;voluptuous;well-endowed
butch,5,noun,dike;dyke
butch,5,satellite,macho
buxom,5,satellite,bosomy;busty;curvaceous;curvy;full-bosomed;sonsie;sonsy;stacked;voluptuous;well-endowed|zaftig;zoftig
cagey,5,satellite,cagy;canny;clever|cagy;chary
campy,5,satellite,camp
canny,5,satellite,cagey;cagy;clever
cased,5,verb,case|encase;incase;case
cased,5,satellite,encased;incased
catty,5,noun,cattie
catty,5,satellite,bitchy;cattish
cecal,5,adjective,caecal
chary,5,satellite,cagey;cagy
cheap,5,adjective,inexpensive
cheap,5,satellite,brassy;flash;flashy;garish;gaudy;gimcrack;loud;meretricious;tacky;tatty;tawdry;trashy|bum;cheesy;chintzy;crummy;punk;sleazy;tinny|chinchy;chintzy
chian,5,adjective,Chian
chief,5,noun,head;top dog|foreman;gaffer;honcho;boss|headman;tribal chief;chieftain
chief,5,satellite,main;primary;principal;master
choky,5,noun,chokey
cissy,5,satellite,effeminate;emasculate;epicene;sissified;sissyish;sissy
civic,5,adjective,civil
civil,5,adjective,polite|civic
clean,5,noun,clean and jerk
clean,5,verb,make clean|pick|houseclean;clean house|cleanse|strip|scavenge
clean,5,satellite,clear|clear;light;unclouded|fresh|uninfected|clean-living|fair|blank;white|sporting;sporty;sportsmanlike|neat
clean,5,adjective,uncontaminating|unobjectionable
clean,5,adverb,plumb;plum|fairly;fair
clear,5,noun,open
clear,5,verb,unclutter|clear up;light up;brighten|authorize;authorise;pass|pass|top|clear up;shed light on;crystallize;crystallise;crystalize;crystalise;straighten out;sort out;enlighten;illuminate;elucidate|net|net;sack;sack up|gain;take in;make;earn;realize;realise;pull in;bring in|acquit;assoil;discharge;exonerate;exculpate|solve|clear up
clear,5,satellite,open|clean;light;unclouded|unmortgaged|clean-cut;clear-cut|clean|decipherable;readable|absolved;cleared;exculpated;exonerated;vindicated|percipient
clear,5,adjective,well-defined
clear,5,adverb,all the way|clearly
cleft,5,noun,crack;crevice;fissure;scissure
cleft,5,verb,cleave;split;rive|cleave|cling;cleave;adhere;stick;cohere
cleft,5,satellite,dissected
close,5,noun,stopping point;finale;finis;finish;last;conclusion|conclusion;end;closing;ending|finale;closing curtain;finis
close,5,verb,shut|shut|close up;fold;shut down;close down|conclude|come together|fill up|close up
close,5,adjective,near;nigh
close,5,satellite,faithful|tight|confining|airless;stuffy;unaired|tight|snug;close-fitting|cheeseparing;near;penny-pinching;skinny|closelipped;closemouthed;secretive;tightlipped
close,5,adverb,near;nigh|closely;tight
clxxv,5,satellite,one hundred seventy-five;175
clxxx,5,satellite,one hundred eighty;180
co-ed,5,noun,college girl
co-ed,5,satellite,coeducational
color,5,noun,colour;coloring;colouring|colour;vividness|colour;coloration;colouration|colour;people of color;people of colour|semblance;gloss;colour|coloring material;colouring material;colour|colour|colour
color,5,verb,colorize;colorise;colourise;colourize;colour;color in;colour in|tinge;colour;distort|colour|colour;emblazon|colour;gloss|discolor;discolour;colour
color,5,adjective,colour
comal,5,satellite,comate;comose
comfy,5,adjective,comfortable
comic,5,noun,comedian
comic,5,satellite,amusing;comical;funny;laughable;mirthful;risible
conic,5,noun,conic section
conic,5,adjective,conical;conelike;cone-shaped
coral,5,noun,red coral;precious coral
corky,5,satellite,corked
corny,5,satellite,bromidic;platitudinal;platitudinous
crack,5,noun,cleft;crevice;fissure;scissure|gap|crevice;cranny;fissure;chap|cracking;snap|shot|wisecrack;sally;quip|crack cocaine;tornado|fling;go;pass;whirl;offer|fracture;cracking
