lemma,Count,part_of_speech,hypernyms
belle,5,noun,girl
belly,5,noun,body part|adipose tissue|bulge|inside|underpart
belly,5,verb,swell
bench,5,noun,seat|tableland|administration|worktable|assembly|subgroup|seat
bench,5,verb,remove|expose
bends,5,noun,illness|curve|movement|section|angular shape|ordinary
bends,5,verb,change shape|turn|change shape|bend|turn|move
benne,5,noun,herb
benni,5,noun,herb
benny,5,noun,herb
bercy,5,noun,sauce
beret,5,noun,cap
berit,5,noun,circumcision
beroe,5,noun,ctenophore
berry,5,noun,edible fruit|fruit
berry,5,verb,pick
berth,5,noun,occupation|anchorage|bed
berth,5,verb,supply|fasten|dock
beryl,5,noun,mineral
beset,5,verb,annoy|assail|decorate
besom,5,noun,broom
besot,5,verb,desensitize
betel,5,noun,true pepper
bevel,5,noun,edge|hand tool
bevel,5,verb,cut
bezel,5,noun,edge
bhang,5,noun,soft drug
bialy,5,noun,onion roll
bible,5,noun,sacred text|handbook
bibos,5,noun,mammal genus
biddy,5,noun,chicken|chicken;young bird
bidet,5,noun,basin
big h,5,noun,heroin
bight,5,noun,loop|bend|bay|center
bight,5,verb,fasten
bigos,5,noun,stew
bigot,5,noun,partisan
bijou,5,noun,jewelry
bilby,5,noun,bandicoot
bilge,5,noun,water|bottom
bilge,5,verb,damage|leak
billy,5,noun,club|goat
bimbo,5,noun,girl
bimli,5,noun,hibiscus
binge,5,noun,indulgence|revel
binge,5,verb,eat
bingo,5,noun,board game
biome,5,noun,community
biont,5,noun,living thing
biota,5,noun,collection
biped,5,noun,animal
birch,5,noun,wood|tree|switch
birch,5,verb,flog
birle,5,verb,rotate
birth,5,noun,beginning|change|organic process|kinship|person
birth,5,verb,produce
bison,5,noun,bovid
bitch,5,noun,difficulty|unpleasant person|objection|canine
bitch,5,verb,complain|complain
biter,5,noun,person
bitis,5,noun,reptile genus
bitok,5,noun,dish
black,5,noun,achromatic color|dark|person;person of color|man|clothing
black,5,verb,discolor
blade,5,noun,leaf|young person|ribbon|weapon|cut of beef|structure|runner|rotating mechanism|cutting implement
blahs,5,noun,boredom|grandiosity
blain,5,noun,sore
blame,5,noun,accusation|reproach
blame,5,verb,charge|knock|impute
blanc,5,noun,white sauce
blank,5,noun,character|gap|sheet|cartridge
blank,5,verb,prevent
blare,5,noun,noise
blare,5,verb,make noise|sound
blast,5,noun,fly|noise|wind|explosion|experience|criticism
blast,5,verb,make noise|hit|bombard|blow|make|cut|fire|knock|smash|shrivel
blate,5,verb,utter
blaze,5,noun,fire|trouble|mischief|brightness|marking
blaze,5,verb,shine|blast|burn|depart|mark
blear,5,verb,change
bleat,5,noun,cry
bleat,5,verb,complain|utter
bleed,5,verb,exhaust|treat|extort|diffuse|empty
bleep,5,noun,sound
bleep,5,verb,sound
blend,5,noun,mix|neologism|combination
