lemma,Count,part_of_speech,hypernyms
check,5,verb,analyze|examine|verify|restrain|stop|verify|change|equal|obstruct|develop|consign|consign|stop|stop|draw|move|defend|attack|write out|verify|stop|crack|change
cheek,5,noun,feature|disrespect|body part|aggressiveness
cheek,5,verb,talk
cheep,5,noun,cry
cheep,5,verb,utter
cheer,5,noun,approval|attribute
cheer,5,verb,encourage|applaud|rejoice|encourage
chela,5,noun,hindu|extremity
chert,5,noun,silica
chess,5,noun,brome|board game
chest,5,noun,body part|box|external body part|furniture
chevy,5,verb,annoy
chewa,5,noun,african
chick,5,noun,chicken;young bird|girl
chide,5,verb,knock
chief,5,noun,leader|supervisor|leader
child,5,noun,juvenile|offspring|person|descendant
chile,5,noun,hot pepper
chili,5,noun,dish|hot pepper
chill,5,noun,coldness|fear|symptom|apprehension
chill,5,verb,depress|change|change state
chime,5,noun,percussion instrument
chime,5,verb,sound
chimp,5,noun,great ape
ch'in,5,noun,dynasty
china,5,noun,porcelain|crockery
chine,5,noun,cut|spinal column
chine,5,verb,butcher
chink,5,noun,chinese|crack|sound
chink,5,verb,sound|plug|crack
chino,5,noun,trouser|fabric
chips,5,noun,potato|fragment|float|droppings|snack food|blemish|counter|semiconductor device|approach|breakage
chips,5,verb,separate|cut|shoot|shape|cut
chirk,5,verb,voice
chirp,5,noun,sound
chirp,5,verb,utter|sing
chirr,5,verb,utter
chive,5,noun,alliaceous plant
chivy,5,verb,annoy
chock,5,noun,block
chock,5,verb,fasten|hold
choir,5,noun,chorus|set|area
choir,5,verb,sing
choke,5,noun,coil|valve
choke,5,verb,breathe|compress|compress|compress|suffer|fail|inhibit|obstruct|obstruct|become|stifle|change state|enrich|sicken
choky,5,noun,prison
chomp,5,noun,eating
chomp,5,verb,chew
chord,5,noun,straight line|note
chord,5,verb,play|change
chore,5,noun,duty
chuck,5,noun,fare|cut of beef|holding device
chuck,5,verb,throw|abandon|caress|excrete
chufa,5,noun,sedge
chuff,5,verb,blow
chump,5,noun,victim
chunk,5,noun,agglomeration|large indefinite quantity
chunk,5,verb,roll up|group
churl,5,noun,unpleasant person|hoarder|unpleasant person
churn,5,noun,vessel
churn,5,verb,stir|move
churr,5,verb,utter
chute,5,noun,rescue equipment|gutter
chute,5,verb,dive
chyle,5,noun,liquid body substance
chyme,5,noun,food
cicer,5,noun,rosid dicot genus
cider,5,noun,beverage
cigar,5,noun,roll of tobacco
cimex,5,noun,arthropod genus
cinch,5,noun,undertaking|stable gear|all fours
cinch,5,verb,fasten|see|master
cipro,5,noun,antibiotic
circe,5,noun,sorceress
cirio,5,noun,candlewood
cisco,5,noun,whitefish|whitefish
civet,5,noun,viverrine
clack,5,noun,noise|valve
clack,5,verb,make noise|utter|talk
clade,5,noun,biological group
claim,5,noun,assertion|assertion|demand|right|legal right|demand
claim,5,verb,affirm|request|request|affirm|necessitate
clamp,5,noun,holding device
clamp,5,verb,fasten|inflict
clams,5,noun,money|bivalve|bill|shellfish
clams,5,verb,gather
clang,5,noun,noise
clang,5,verb,sound
clank,5,noun,noise
clank,5,verb,sound
claro,5,noun,cigar
clary,5,noun,sage
clash,5,noun,noise|conflict|conflict|fight
clash,5,verb,hit|conflict|disagree
clasp,5,noun,fastener|grasping
clasp,5,verb,grasp|fasten|fasten|seize
class,5,noun,collection|gathering|people|education|league|gathering|taxonomic group|elegance
class,5,verb,categorize
clast,5,noun,fragment
clean,5,noun,weightlift
clean,5,verb,change|remove|tidy|groom|be|deprive|remove|remove|remove|remove
clear,5,noun,innocence|area
clear,5,verb,change|make|permit|remove|succeed|vanish|pass|clarify|free|rid|yield|profit|get|sell|pass|pronounce|settle|change|empty|take out|empty|remove
cleat,5,noun,projection|fastener|strip
cleat,5,verb,supply|fasten
cleft,5,noun,indentation|opening
cleft,5,verb,tear|make|touch
clegg,5,noun,gadfly
clerk,5,noun,employee|salesperson
clerk,5,verb,work
clews,5,noun,cord|ball|evidence
clews,5,verb,wind
click,5,noun,sound|stop consonant|catch|depression
click,5,verb,move|sound|sound|move|pronounce|utter
cliff,5,noun,geological formation
climb,5,noun,slope|rise|rise
climb,5,verb,rise|move|increase|slope|progress|grow
clime,5,noun,environmental condition
cling,5,noun,edible fruit
cling,5,verb,touch|grasp
clink,5,noun,sound|correctional institution
clink,5,verb,sound|sound
cloak,5,noun,covering|overgarment
cloak,5,verb,disguise|cover|cover
clock,5,noun,timepiece
clock,5,verb,quantify
clomp,5,verb,walk
clone,5,noun,double|organism|copy
clone,5,verb,copy
close,5,noun,end|section|finish
close,5,verb,change state|end|end|end|trade|prosecute|end|move|move|approach|join|barricade|fill|join|complete
cloth,5,noun,artifact
cloud,5,noun,physical phenomenon|atmospheric phenomenon|unreality|gloom|suspicion|group
cloud,5,verb,darken|hide|billow|affect|mar|change|spot|dull
clout,5,noun,target|advantage|nail|blow
clout,5,verb,strike
clove,5,noun,flower bud|spice tree|garlic|spice
clove,5,verb,tear|make|touch
clown,5,noun,fool|comedian
clown,5,verb,joke
cluck,5,noun,cry
cluck,5,verb,utter
clump,5,noun,agglomeration|agglomeration|sound
clump,5,verb,sound|meet|walk|form
clunk,5,noun,sound
clunk,5,verb,sound
coach,5,noun,trainer|teacher|car|carriage|public transport
coach,5,verb,teach|drive
coact,5,verb,act
coapt,5,verb,close|fasten
coast,5,noun,shore|slope|view|motion
coast,5,verb,glide
coati,5,noun,procyonid
cobia,5,noun,percoid fish
cobol,5,noun,programming language
cobra,5,noun,elapid
cocci,5,noun,eubacteria|eubacteria
cocoa,5,noun,beverage|foodstuff
cocos,5,noun,monocot genus|palm
coder,5,noun,computer user;engineer
codex,5,noun,list|manuscript
codon,5,noun,sequence
co-ed,5,noun,undergraduate
cohoe,5,noun,salmon|salmon
coign,5,noun,wedge|keystone
colic,5,noun,pain
colly,5,verb,change
colon,5,noun,large intestine|el salvadoran monetary unit|costa rican monetary unit|punctuation
color,5,noun,visual property|interest|timbre|race|appearance|material|kind|appearance
color,5,verb,change|affect|influence|decorate|apologize|change
colza,5,noun,mustard
combo,5,noun,dance band
comer,5,noun,rival|traveler
comet,5,noun,extraterrestrial object
comic,5,noun,performer
comma,5,noun,punctuation|nymphalid
conch,5,noun,gastropod
condo,5,noun,dwelling
coney,5,noun,grouper|placental|lagomorph|leporid
conga,5,noun,dance music|ballroom dancing
conga,5,verb,dance
conge,5,noun,molding|license|dismissal
conge,5,verb,bow
congo,5,noun,black tea
conic,5,noun,plane figure
conoy,5,noun,algonquian
conto,5,noun,portuguese monetary unit
cooky,5,noun,cook|cake
cooly,5,noun,asian
co-op,5,noun,commercial enterprise
copal,5,noun,natural resin
copra,5,noun,coconut
copse,5,noun,vegetation
coral,5,noun,pink|opaque gem|roe|anthozoan
cords,5,noun,trouser|line|volume unit|conductor|fabric
cords,5,verb,stack|tie
corer,5,noun,device
corgi,5,noun,dog
cornu,5,noun,structure
corps,5,noun,army unit|body|firm
cosec,5,noun,trigonometric function
costa,5,noun,structure|bone
costs,5,noun,reimbursement|outgo|value|value
costs,5,verb,be|necessitate
cotan,5,noun,trigonometric function
couch,5,noun,seat|flat coat|bed
couch,5,verb,give voice
cough,5,noun,symptom
cough,5,verb,expectorate
count,5,noun,number|investigation|lord
count,5,verb,determine|be|recite|classify|include|be|trust|estimate
coupe,5,noun,car
court,5,noun,assembly|room|government|playing field|cortege|hotel|court|residence|area|deference
court,5,verb,act|act
coven,5,noun,assembly
cover,5,noun,covering|bedclothes|concealment|protective covering|natural object|covering|fire|fixed charge|recording|concealment
cover,5,verb,touch|be|satisfy|broach|include|pass|inform|protect|protect|hide|protect|see|guarantee|compensate|endow|substitute|be|hide|envelop|copulate|play|protect|reproduce|dress
covet,5,verb,envy
covey,5,noun,gathering|flock
cower,5,verb,crouch|bend
cowry,5,noun,gastropod
cox-1,5,noun,cyclooxygenase
cox-2,5,noun,cyclooxygenase
coyol,5,noun,feather palm
coypu,5,noun,rodent
cozen,5,verb,victimize|cheat|acquire;cheat
crabs,5,noun,pediculosis|decapod crustacean|grouch|person|shellfish|louse|rowing
crabs,5,verb,steer|scurry|fish|complain
crack,5,noun,opening|opening|depression|noise|opportunity|remark|blemish|cocaine|attempt|breakage
crack,5,verb,change|sound|sound|hit|pass|crack|break|break in|suffer|tell|change|decompose|change
craft,5,noun,occupation|vehicle|class|skill|shrewdness
craft,5,verb,fashion
crake,5,noun,rail
cramp,5,noun,symptom|clamp|strip
cramp,5,verb,fasten|restrict|affect|suffer
crane,5,noun,lifting device|wading bird
crane,5,verb,stretch
crank,5,noun,unpleasant person|eccentric|amphetamine;controlled substance|hand tool
crank,5,verb,travel|start|rotate|fasten|flex
crape,5,noun,pancake|fabric
crape,5,verb,cover|curl
craps,5,noun,two|game of chance|fecal matter|bunk
craps,5,verb,excrete
crash,5,noun,noise|accident|happening|hit|mishap
crash,5,verb,descend|move|collide|pass|disintegrate|occupy|sound|intrude|collide|hurl|change|fail|bed down
crate,5,noun,box|containerful
crate,5,verb,encase
crave,5,verb,desire|beg
crawl,5,noun,motion|swimming stroke|locomotion
crawl,5,verb,travel|feel|teem|bend|swim
craze,5,noun,fashion|mania|crack
craze,5,verb,crack
crazy,5,noun,lunatic
creak,5,noun,noise
creak,5,verb,make noise
cream,5,noun,elite|dairy product|toiletry
cream,5,verb,beat|beat|put on|remove|modify
credo,5,noun,doctrine
creed,5,noun,doctrine|doctrine
creek,5,noun,stream|indian
creel,5,noun,basket
creep,5,noun,unpleasant person|change of location|pen|locomotion
creep,5,verb,travel|walk|diffuse|bend
crepe,5,noun,paper|pancake|fabric
crepe,5,verb,cover
cress,5,noun,crucifer|salad green
crest,5,noun,line|topographic point|top|emblem|process
crest,5,verb,lie|top out
crick,5,noun,spasm
crick,5,verb,twist
crier,5,noun,unfortunate|announcer|peddler;roarer
crime,5,noun,transgression|transgression
crimp,5,noun,angular shape|kidnapper|lock
crimp,5,verb,fold|curl
crisp,5,noun,snack food
crisp,5,verb,fold|heat
crith,5,noun,weight unit
croak,5,noun,utterance
croak,5,verb,change state|utter|complain
croat,5,noun,slav
crock,5,noun,carbon|nonsense|jar
crock,5,verb,run|dirty
croft,5,noun,farm
crone,5,noun,old woman
cronk,5,verb,utter|utter
crony,5,noun,friend
crook,5,noun,principal|curve|staff
crook,5,verb,bend
croon,5,verb,sing
crore,5,noun,large integer
cross,5,noun,structure|marking|emblem|affliction|organism|coupling
cross,5,verb,pass|meet|prevent|fold|cover|intersect|write|breed
croup,5,noun,angina|body part
crowd,5,noun,gathering|gathering
crowd,5,verb,move|occupy|meet|approach
crown,5,noun,symbol|top|wreath|crown jewels;jewelled headdress|vertex|coin|top|topographic point|award|top|dental appliance|top
crown,5,verb,invest|culminate|head|cover
crude,5,noun,fossil fuel;oil
cruet,5,noun,bottle
crumb,5,noun,small indefinite quantity|unpleasant person|morsel
crumb,5,verb,coat|break up|remove
crump,5,verb,crunch|blast|explode
cruse,5,noun,jar
crush,5,noun,leather|crowd|love|compression
crush,5,verb,press|get the better of|break up|humiliate|bruise|change|break
crust,5,noun,layer|covering|discourtesy
crust,5,verb,change surface
crypt,5,noun,burial chamber
ctene,5,noun,organ
cu ft,5,noun,volume unit
cu in,5,noun,volume unit
cuban,5,noun,west indian
cubby,5,noun,room
cubeb,5,noun,fruit|true pepper|cigarette
cubit,5,noun,linear unit
cuddy,5,noun,galley
culex,5,noun,arthropod genus
cumin,5,noun,herb|edible seed
cupel,5,noun,vessel
cupid,5,noun,emblem
cuppa,5,noun,tea
cured,5,verb,help|preserve|harden|change
curet,5,noun,surgical instrument
curia,5,noun,administration
curie,5,noun,radioactivity unit
curio,5,noun,object
curry,5,noun,dish
curry,5,verb,season|process|fancify
curse,5,noun,profanity|denunciation|spell|affliction|affliction
curse,5,verb,express|abuse|raise|exclude
curst,5,verb,express|abuse|raise|exclude
curve,5,noun,line|line|pitch|shape|section
curve,5,verb,turn|be|bend|bend|change surface
cutch,5,noun,tannin
cutin,5,noun,plant material
cutis,5,noun,body covering;connective tissue
cycad,5,noun,gymnosperm
cycas,5,noun,gymnosperm genus
cycle,5,noun,time interval|series|repeat|rate|periodic event|wheeled vehicle
cycle,5,verb,pass|pass|ride|ride|recur
cyder,5,noun,beverage
cylix,5,noun,cup
cymry,5,noun,european
cynic,5,noun,unpleasant person|philosopher
cypre,5,noun,angiospermous tree
cyril,5,noun,missionary
cytol,5,noun,protoplasm
czech,5,noun,european|european|slavic
dacha,5,noun,country house
daddy,5,noun,father
daffo,5,noun,west chadic
dafla,5,noun,kamarupan
dagga,5,noun,herb
daily,5,noun,newspaper
dairy,5,noun,farm
daisy,5,noun,flower
dalea,5,noun,rosid dicot genus
dally,5,verb,act|act|talk|consider
damar,5,noun,natural resin
dance,5,noun,art|party|diversion;performing arts|party
dance,5,verb,move|move|move
dandy,5,noun,man|sailing vessel
daraf,5,noun,elastance unit
darky,5,noun,black
darpa,5,noun,agency
darts,5,noun,board game|projectile|tuck|motion
darts,5,verb,travel rapidly|rush|lunge
dated,5,verb,go out|date;stamp|determine|consort|supply
datum,5,noun,information
daunt,5,verb,intimidate
davit,5,noun,crane
dawah,5,noun,mission
dazed,5,verb,blind|desensitize
deary,5,noun,lover
death,5,noun,change|organic phenomenon|state|end|end|state|killing
debar,5,verb,expel|prevent|forbid
debit,5,noun,entry
debit,5,verb,account
debug,5,verb,correct
debut,5,noun,beginning|presentation
debut,5,verb,introduce|play|perform
decaf,5,noun,coffee
decal,5,noun,design;transfer paper
decay,5,noun,natural process|decrease|organic phenomenon|unsoundness|nuclear reaction
decay,5,verb,change integrity|change|change
decor,5,noun,decoration
decoy,5,noun,accomplice;deceiver|device
decoy,5,verb,entice
decry,5,verb,denounce
deeds,5,noun,activity|legal document|event
defat,5,verb,get rid of
defer,5,verb,delay|yield
defog,5,verb,change
degas,5,verb,remove
deice,5,verb,dissolve
deify,5,verb,idealize|exalt
deign,5,verb,act
deism,5,noun,rationalism
deist,5,noun,nonreligious person
deity,5,noun,spiritual being
dekko,5,noun,look
delay,5,noun,pause|inactivity
delay,5,verb,decelerate|wait|check|change
delft,5,noun,earthenware
delta,5,noun,alluvial sediment;geological formation|equilateral triangle|letter
delve,5,verb,remove
demob,5,verb,discharge
demon,5,noun,evil spirit|unpleasant person|actor
demur,5,noun,objection
demur,5,verb,object|plead
denim,5,noun,trouser;workwear|fabric
depot,5,noun,station|depository
depth,5,noun,extent|degree|region|abasement|wisdom|attribute
derby,5,noun,hat
derma,5,noun,stratum
desex,5,verb,operate on
deter,5,verb,disapprove|rede
detox,5,noun,ward
detox,5,verb,treat
deuce,5,noun,tie|digit|exclamation|playing card
devil,5,noun,evil spirit|exclamation|troublemaker|unpleasant person
devil,5,verb,displease|cook
devon,5,noun,cattle
dewar,5,noun,vacuum flask
dhava,5,noun,tree
dhawa,5,noun,tree
dhole,5,noun,wild dog
dhoti,5,noun,breechcloth
diary,5,noun,writing|journal
dicer,5,noun,mechanical device
dicky,5,noun,backseat|insert
dicot,5,noun,angiosperm
digit,5,noun,integer|linear unit|extremity
dildo,5,noun,vibrator
dimer,5,noun,compound
dinar,5,noun,iranian monetary unit|yugoslavian monetary unit|tunisian monetary unit|libyan monetary unit|kuwaiti monetary unit|jordanian monetary unit|iraqi monetary unit|bahrainian monetary unit|algerian monetary unit
diner,5,noun,eater|passenger car|restaurant
dinge,5,noun,dirtiness
dinge,5,verb,change shape|change
dingo,5,noun,wild dog
dinka,5,noun,nilotic
dinky,5,noun,locomotive
diode,5,noun,tube|semiconductor device
dioon,5,noun,cycad
dipus,5,noun,mammal genus
dirca,5,noun,dicot genus
dirge,5,noun,song
dirty,5,verb,change
disco,5,noun,popular music|ballroom
disco,5,verb,dance
ditch,5,noun,excavation|waterway
ditch,5,verb,abandon|abandon|get rid of|crash land|crash|excavate
ditto,5,noun,mark
ditto,5,verb,repeat
ditty,5,noun,song
divan,5,noun,sofa|privy council|anthology|boardroom;chamber
diver,5,noun,explorer|swimmer|gaviiform seabird
divot,5,noun,pit|turf
divvy,5,noun,dividend
diwan,5,noun,privy council|anthology|boardroom;chamber
dixie,5,noun,pot
dizen,5,verb,overdress
dizzy,5,verb,change
djinn,5,noun,spirit|spirit|spirit
do by,5,verb,interact
do in,5,verb,kill
do it,5,verb,copulate
do up,5,verb,wrap|groom
dobra,5,noun,sao thome e principe monetary unit
dodge,5,noun,scheme|evasion|falsehood
dodge,5,verb,move|move|avoid
doggy,5,noun,dog
dogie,5,noun,calf
dogma,5,noun,religious doctrine|doctrine
doily,5,noun,linen
dolly,5,noun,conveyance|conveyance|plaything
dolor,5,noun,grief
donee,5,noun,recipient
donna,5,noun,woman
donor,5,noun,benefactor|benefactor
donut,5,noun,friedcake
doped,5,verb,drug|change|drug
doric,5,noun,ancient greek
dosed,5,verb,process|medicate
doubt,5,noun,cognitive state|uncertainty
doubt,5,verb,disbelieve|distrust
dough,5,noun,concoction|money
doula,5,noun,assistant
doura,5,noun,grain sorghum
douse,5,verb,snuff out|wet|dunk|immerse|roll up|slacken|wet
dowdy,5,noun,pastry
dowel,5,noun,fastener
dower,5,noun,gift|life estate
dower,5,verb,give
dowry,5,noun,gift
dowse,5,noun,divination
dowse,5,verb,wet|divine|slacken|wet
doyen,5,noun,elder
doyly,5,noun,linen
dozen,5,noun,large integer
dozer,5,noun,tractor
dphil,5,noun,doctor of philosophy
draba,5,noun,herb
draco,5,noun,reptile genus
draft,5,noun,negotiable instrument|wind|sketch|drink|text|depth|regulator|dose|mobilization|swallow|pull
draft,5,verb,write|enroll|design
drain,5,noun,emptying|tube|pipe|depletion
drain,5,verb,run|consume|empty|weaken
drake,5,noun,duck
drama,5,noun,dramatic composition|episode|writing style|emotionality
drape,5,noun,blind;furnishing|manner|covering
drape,5,verb,arrange|arrange|cover|cover
drawl,5,noun,accent
drawl,5,verb,pronounce
drawn,5,verb,move|derive|mark|create by mental act|remove|represent|remove|set forth|choose|arouse|inhale|travel|remove|move|effect|change|remove|write|create|close|be|necessitate|kill|move|pull|arrange|stretch|equal|change shape|thin|steep|remove|shape|localize
dread,5,noun,fear
dream,5,noun,imagination|imagination|desire|fantasy|reverie|perfection
dream,5,verb,imagine|perceive
dreck,5,noun,merchandise
dregs,5,noun,sediment|small indefinite quantity
dress,5,noun,woman's clothing|clothing|clothing
dress,5,verb,change|change state|finish|dress|overdress|cook|position|decorate|arrange|put on|thin out|pare|convert|treat|fancify|groom
dried,5,verb,change|change
drier,5,noun,chemical agent|appliance
drift,5,noun,force|natural process|linguistic process|mass|inclination|tenor|passageway
drift,5,verb,travel|travel|travel|vary|exist|circulate|float|crop|change|accumulate
drill,5,noun,tool|baboon|training|training
drill,5,verb,cut|train|learn|teach|train
drink,5,noun,helping|intemperance|food;liquid|body of water|consumption
drink,5,verb,consume|consume|honor|steep|use
drive,5,noun,propulsion|mechanism|venture|road|trait|golf stroke|transportation|journey|physical condition|device|road|return
drive,5,verb,operate|travel|move|thrust|coerce|push|make|propel|throw|fight|mean|work|drive;travel|push|traverse|hit|hit|excavate|power|hunt|hunt
drome,5,noun,airfield
drone,5,noun,bee|intonation|idler|heavier-than-air craft|pipe
drone,5,verb,sound|talk
drool,5,noun,nonsense|saliva
drool,5,verb,covet|salivate
droop,5,noun,depression
droop,5,verb,sink|dangle|decay
dross,5,noun,waste|scum
drove,5,noun,animal group|crowd|chisel
drove,5,verb,operate|travel|move|thrust|coerce|push|make|propel|throw|fight|mean|work|drive;travel|push|traverse|hit|hit|excavate|power|hunt|hunt
drown,5,verb,cover|extinguish|die|kill|be
druid,5,noun,priest
drunk,5,noun,drinker|drinker
drunk,5,verb,consume|consume|honor|steep|use
drupe,5,noun,fruit
druse,5,noun,disciple
druze,5,noun,disciple
dryad,5,noun,nymph
dryas,5,noun,rosid dicot genus
dryer,5,noun,appliance
ducat,5,noun,coin
duchy,5,noun,domain
ducky,5,noun,lover
dulse,5,noun,red algae
dumas,5,noun,legislature
dummy,5,noun,mute|simpleton|figure|cartridge
dummy,5,verb,produce
dumps,5,noun,low spirits|defecation|site|copy|storehouse
dumps,5,verb,discard|get rid of|sell|drop|drop|beat
dunce,5,noun,stupid
duomo,5,noun,church
durio,5,noun,dilleniid dicot genus
durra,5,noun,grain sorghum
durum,5,noun,wheat
dutch,5,noun,nation|west germanic
duvet,5,noun,quilt
dwarf,5,noun,small person|fairy|organism
dwarf,5,verb,dominate|stunt
dweeb,5,noun,learner
dwell,5,verb,worry|exist|be|exist|repeat
dying,5,noun,end
dying,5,verb,change state|suffer|break down|change|feel|ache|cut out|play|change|disappear
eager,5,noun,tidal flow
eagle,5,noun,bird of prey|score|coin|emblem
eagle,5,verb,shoot|score
eagre,5,noun,tidal flow
earth,5,noun,material|object|location|element|concern|connection
earth,5,verb,hide|ground
eased,5,verb,travel|relieve|help|comfort
easel,5,noun,tripod
eater,5,noun,consumer|produce
eaves,5,noun,overhang
eblis,5,noun,genie
ebola,5,noun,hemorrhagic fever
ebony,5,noun,black|wood|tree
eclat,5,noun,approval|elegance|magnificence
edema,5,noun,swelling
edged,5,verb,advance|supply|touch|sharpen
edger,5,noun,needleworker|garden tool
edict,5,noun,announcement|act
edify,5,verb,teach
educe,5,verb,interpret|make
egest,5,verb,exhaust
eggar,5,noun,lasiocampid
egger,5,noun,lasiocampid
egret,5,noun,heron
eibit,5,noun,computer memory unit
eider,5,noun,sea duck
eidos,5,noun,attribute
eight,5,noun,digit|artistic movement;school|spot
eject,5,verb,expel|exit|discharge
eland,5,noun,antelope
elate,5,verb,stimulate
elbow,5,noun,hinge joint|bend|pipe|cloth covering|joint
elbow,5,verb,jostle|nudge
elder,5,noun,adult|shrub|church officer
elect,5,noun,elite
elect,5,verb,choose|choose
elegy,5,noun,poem
elemi,5,noun,gum resin
elide,5,verb,exclude
elint,5,noun,signals intelligence
elisa,5,noun,assay
elite,5,noun,upper class
ellul,5,noun,jewish calendar month
elope,5,verb,flee
elops,5,noun,fish genus
elude,5,verb,escape|perplex|avoid
elute,5,verb,wash
elver,5,noun,eel|eel
elves,5,noun,atmospheric electricity|fairy|radio frequency
elvis,5,noun,lysergic acid diethylamide
email,5,noun,electronic communication
email,5,verb,telecommunicate
embed,5,verb,insert|group
ember,5,noun,fragment
emcee,5,noun,entertainer
emcee,5,verb,host
emeer,5,noun,ruler
emend,5,verb,better
emery,5,noun,mineral
emmer,5,noun,wheat
emmet,5,noun,hymenopterous insect
emote,5,verb,act
empty,5,noun,container
empty,5,verb,change|change state|leave|remove|excrete
enact,5,verb,decree|act
enate,5,noun,relative
ended,5,verb,change|be|destroy
endow,5,verb,enable|give
endue,5,verb,enable
enema,5,noun,irrigation
enemy,5,noun,military unit|adversary|people|rival
enets,5,noun,samoyedic
enjoy,5,verb,use|like|experience
ennui,5,noun,dissatisfaction
enrol,5,verb,register
ensis,5,noun,mollusk genus
ensky,5,verb,laud
ensue,5,verb,prove
enter,5,verb,register|be|save|succeed;take office|attach|get down
entry,5,noun,written record|beginning|accounting|message|access|arrival
entsi,5,noun,samoyedic
entsy,5,noun,samoyedic
enuki,5,noun,semitic deity
envoi,5,noun,stanza
envoy,5,noun,diplomat|representative|stanza
eolic,5,noun,ancient greek
eosin,5,noun,fluorescein
ephah,5,noun,dry unit
epoch,5,noun,time period|date|geological time
epoxy,5,noun,synthetic resin
epoxy,5,verb,glue
eprom,5,noun,read-only memory
equal,5,noun,person
equal,5,verb,compete|change
equid,5,noun,odd-toed ungulate
equip,5,verb,supply|enable
equus,5,noun,mammal genus
erase,5,verb,kill|delete|take away
erect,5,verb,construct|raise
ergot,5,noun,plant disease|fungus
erica,5,noun,heath
erode,5,verb,decay|damage
error,5,noun,nonaccomplishment|incorrectness|misconception|failure|evil|happening|misstatement
eruca,5,noun,dilleniid dicot genus
eruct,5,verb,exhaust|emit
erupt,5,verb,begin|intensify|change state|appear|explode|express emotion|appear|trouble
esker,5,noun,ridge
essay,5,noun,writing|attempt
essay,5,verb,act|evaluate
ester,5,noun,organic compound
ether,5,noun,element|organic compound|medium|inhalation anesthetic
ethic,5,noun,principle|system
ethos,5,noun,attribute
ethyl,5,noun,alkyl
etude,5,noun,musical composition
evade,5,verb,avoid|escape|act|get off
evenk,5,noun,tungusic
event,5,noun,psychological feature|circumstance|physical phenomenon|phenomenon
evert,5,verb,turn
evict,5,verb,eject|eject
evoke,5,verb,make|cause|interpret|make|express
exact,5,verb,claim|necessitate
exalt,5,verb,praise|elate|stimulate|lift
exert,5,verb,use|have|act
exile,5,noun,absentee|foreigner|banishment
exile,5,verb,expel
exode,5,noun,afterpiece
expat,5,noun,absentee
expel,5,verb,move|remove|get the better of
extol,5,verb,praise
extra,5,noun,actor|edition|artifact
exude,5,verb,excrete|express
exult,5,verb,rejoice|cheer
eyrie,5,noun,bird's nest|habitation
eyrir,5,noun,icelandic monetary unit
fa la,5,noun,nonsense
fable,5,noun,falsehood|story|story
faced,5,verb,set about|meet|lie|be|turn|disclose|line|cover
facer,5,noun,difficulty
facet,5,noun,feature|subfigure
facia,5,noun,connective tissue
faded,5,verb,weaken|disappear|disappear|devolve
faery,5,noun,spiritual being|imaginary place
fagot,5,noun,gay man|bundle
fagot,5,verb,embroider|tie down|tie down
fagus,5,noun,hamamelid dicot genus
faint,5,noun,loss of consciousness
faint,5,verb,zonk out
fairy,5,noun,spiritual being|gay man
faith,5,noun,belief;theological virtue|belief|institution|commitment
faker,5,noun,deceiver
fakir,5,noun,muslim;saint
falco,5,noun,bird genus
falls,5,noun,perianth|body of water|season|slip|slope|sin|weakening|change of location|loss|hour|victory|descent;gravitation|decrease
falls,5,verb,travel|travel|change state|be|fail|die|happen|yield|happen|change magnitude|fall;sin|leave office|travel|be|change hands|fall|change hands|slope|change posture|change posture|change|change|issue|be born|get down|disappear|come
fancy,5,noun,misconception|imagination|liking
fancy,5,verb,imagine|desire
fanny,5,noun,body part|genitalia
faqir,5,noun,muslim;saint
farad,5,noun,capacitance unit
farce,5,noun,comedy|stuffing
farce,5,verb,fill
farsi,5,noun,irani|iranian
fated,5,verb,ordain|change
fatso,5,noun,large person
fatty,5,noun,large person
fatwa,5,noun,opinion
fauld,5,noun,armor plate
fault,5,noun,nonaccomplishment|imperfection|worth|crack|breakdown|responsibility|serve
fault,5,verb,charge
fauna,5,noun,collection|organism
fauve,5,noun,painter
favor,5,noun,kindness|advantage|inclination|approval|keepsake
favor,5,verb,promote|see|spare|permit
favus,5,noun,fungal infection
fazed,5,verb,upset
feast,5,noun,dinner|thing|meal|party
feast,5,verb,eat|host|regale
feces,5,noun,body waste
feign,5,verb,misrepresent|dissemble
feint,5,noun,maneuver
feint,5,verb,simulate
feist,5,noun,cur
felid,5,noun,carnivore
felis,5,noun,mammal genus
fella,5,noun,male
felly,5,noun,rim
felon,5,noun,principal|infection
femur,5,noun,leg bone
fence,5,noun,barrier|trader
fence,5,verb,enclose|receive|contend|protect|converse
feoff,5,noun,estate
feria,5,noun,weekday|celebration
fermi,5,noun,metric linear unit
ferry,5,noun,boat|transportation
ferry,5,verb,bring|transport|travel
fesse,5,noun,ordinary
fetch,5,noun,action
fetch,5,verb,transmit|bring
fetor,5,noun,smell
fetus,5,noun,vertebrate
fever,5,noun,symptom|anticipation
fhlmc,5,noun,corporation
fiber,5,noun,material|foodstuff|cell|trait|fabric
fibre,5,noun,material|cell|trait|fabric
fichu,5,noun,scarf
ficus,5,noun,dicot genus
field,5,noun,tract|tract|region|knowledge domain|physical phenomenon|commercial enterprise|environment|tract|land|set|region|set|set|geographical area|set|visual percept|facility
field,5,verb,handle|play|answer|choose
fiend,5,noun,unpleasant person|evil spirit|enthusiast
fifth,5,noun,united states liquid unit|rank|common fraction|interval
fifty,5,noun,large integer|bill
fight,5,noun,military action|conflict|aggressiveness|controversy|boxing
fight,5,verb,contend|try|advertise
