lemma,Count,part_of_speech,hyponyms
banks,5,noun,riverbank;waterside|acquirer;agent bank;commercial bank;credit union;federal reserve bank;home loan bank;lead bank;member bank;merchant bank;state bank;thrift institution|bluff;sandbank|blood bank;eye bank;food bank;soil bank|piggy bank|vertical bank
banks,5,verb,redeposit|count;credit;lean
bantu,5,noun,herero;hutu;luba;shona;sotho;tswana;tutsi|chichewa;chimwini;chishona;fang;gikuyu;giriama;herero;kamba;kichaga;kinyarwanda;kiswahili;kongo;luba;luganda;luyia;mashi;mwera;nguni;nyamwezi;pokomo;shona;sotho;swahili;tonga;umbundu
bared,5,verb,air;bulletin;circulate;hype;publish|burn off;defoliate|close;shut off|spike
barge,5,noun,dredger;houseboat;pontoon;scow;wherry
baron,5,noun,oil tycoon
based,5,verb,build
basil,5,noun,common basil
basin,5,noun,aspersorium;baptismal font;bidet;birdbath;emesis basin;laver;stoup;washbasin|cirque;saltpan;tidal basin|detention basin;retention basin
basis,5,noun,common ground|meat and potatoes
basso,5,noun,basso profundo
batch,5,noun,flood;haymow|schmeer
bated,5,verb,switch-hit
bathe,5,verb,shower|foment
baulk,5,noun,albatross;bind;diriment impediment;drag;obstacle;straitjacket
bayer,5,noun,aspirin powder;buffered aspirin;enteric-coated aspirin
beach,5,noun,plage
beads,5,noun,rosary;wampum|bugle|dewdrop;teardrop|quirk bead
beard,5,noun,beaver;fuzz;goatee;imperial;soul patch;stubble;vandyke beard|awn
beast,5,noun,acrodont;adult;biped;captive;chordate;creepy-crawly;critter;darter;domestic animal;embryo;feeder;female;fictional animal;game;giant;herbivore;hexapod;homeotherm;insectivore;invertebrate;larva;male;marine animal;mate;metazoan;migrator;molter;mutant;omnivore;peeper;pest;pet;pleurodont;poikilotherm;predator;prey;racer;range animal;scavenger;stayer;stunt;survivor;thoroughbred;varmint;work animal;young;zooplankton
beats,5,noun,diastole;systole;throb|backbeat;downbeat;syncopation;upbeat|catalexis;common measure;metrical foot;scansion
