Word,Count,Senses,Definition,Example 1,Example 2,Example 3,Example 4
quiet,5,,characterized by an absence or near absence of agitation or activity,a quiet life,a quiet throng of onlookers,quiet peace-loving people,the factions remained quiet for almost 10 years
rapid,5,speedy,characterized by speed,moving with or capable of moving with high speed,a rapid movement,a speedy car,a speedy errand boy
ready,5,,completely prepared or in condition for immediate action or use or progress,get ready,she is ready to resign,the bridge is ready to collapse,I am ready to work
right,5,,being or located on or directed toward the side of the body to the east when facing north,my right hand,right center field,a right-hand turn,the right bank of a river is the bank on your right side when you are facing downstream
rigid,5,,incapable of or resistant to bending,a rigid strip of metal,a table made of rigid plastic,a palace guardsman stiff as a poker,stiff hair
Roman,5,Romanic,,,c 15277950 n 0000 + 06840553 n 0201 + 09736443 n 0201 \ 08824749 n 0101 | of or relating to or derived from Rome (especially ancient Rome),Roman architecture,the old Roman wall
ropey,5,,,,u 07089193 n 0000 | (British informal) very poor in quality,ropey food,a ropey performance
rough,5,,having or caused by an irregular surface,trees with rough bark,rough ground,rough skin,rough blankets
royal,5,,of or relating to or indicative of or issued or performed by a king or queen or other monarch,the royal party,the royal crest,by royal decree,a royal visit
rural,5,,living in or characteristic of farming or country life,rural people,large rural households,unpaved rural roads,an economy that is basically rural
Scots,5,,of or relating to or characteristic of Scotland or its people or culture or its English dialect or Gaelic language,Scots Gaelic,the Scots community in New York,`Scottish' tends to be the more formal term as in `The Scottish Symphony' or `Scottish authors' or `Scottish mountains',`Scotch' is in disfavor with Scottish people and is used primarily outside Scotland except in such frozen phrases as `Scotch broth' or `Scotch whiskey' or `Scotch plaid'
seamy,5,,morally degraded,a seedy district,the seamy side of life,sleazy characters hanging around casinos,sleazy storefronts with...dirt on the walls- Seattle Weekly
shady,5,,filled with shade,the shady side of the street,the surface of the pond is dark and shadowed,we sat on rocks in a shadowy cove,cool umbrageous woodlands
shaky,5,,vibrating slightly and irregularly,as e.g. with fear or cold or like the leaves of an aspen in a breeze,a quaking bog,the quaking child asked for more,quivering leaves of a poplar tree
short,5,,(primarily spatial sense) having little length or lacking in length,short skirts,short hair,the board was a foot short,a short toss
short,5,,primarily temporal sense,indicating or being or seeming to be limited in duration,a short life,a short flight,a short holiday
short,5,,lacking foresight or scope,a short view of the problem,shortsighted policies,shortsighted critics derided the plan,myopic thinking
short,5,little,low in stature,not tall,he was short and stocky,short in stature,a short smokestack
small,5,,limited or below average in number or quantity or magnitude or extent,a little dining room,a little house,a small car,a little (or small) group
smoky,5,,marked by or emitting or filled with smoke,smoky rafters,smoky chimneys,a smoky fireplace,a smoky corridor
sound,5,,in good condition,free from defect or damage or decay,a sound timber,the wall is sound,a sound foundation
still,5,,used of pictures,of a single or static photograph not presented so as to create the illusion of motion,or representing objects not capable of motion,a still photograph,Cezanne's still life of apples
stoic,5,,seeming unaffected by pleasure or pain,impassive,stoic courage,stoic patience,a stoical sufferer
thick,5,,aboundingthe top was thick with dust,,,,
thick,5,,having component parts closely crowded together,a compact shopping center,a dense population,thick crowds,a thick forest
thick,5,,(of darkness) densely dark,thick night,thick darkness,a face in deep shadow,deep night
thick,5,,not thin,of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions,an inch thick,a thick board,a thick sandwich
thick,5,,relatively dense in consistency,thick cream,thick soup,thick smoke,thick fog
tight,5,,tight money,a tight market,,,
tight,5,,closely constrained or constricted or constricting,tight skirts,he hated tight starched collars,fingers closed in a tight fist,a tight feeling in his chest
toned,5,,having or characterized or distinguished by tone or a specific tone,often used in combination,full-toned,shrill-toned,deep-toned
undue,5,,,not appropriate or proper (or even legal) in the circumstances,undue influence,I didn't want to show undue excitement,accused of using undue force
unfit,5,,not in good physical or mental condition,out of condition,fat and very unfit,certified as unfit for army service,drunk and unfit for service
usual,5,,occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure,grew the usual vegetables,the usual summer heat,came at the usual time,the child's usual bedtime
vital,5,,performing an essential function in the living body,vital organs,blood and other vital fluids,the loss of vital heat in shock,a vital spot
whole,5,,including all components without exception,being one unit or constituting the full amount or extent or duration,complete,gave his whole attention,a whole wardrobe for the tropics
worse,5,,,(comparative of `bad') inferior to another in quality or condition or desirability,this road is worse than the first one we took,the road is in worse shape than it was,she was accused of worse things than cheating and lying
woven,5,,made or constructed by interlacing threads or strips of material or other elements into a whole,woven fabrics,woven baskets,the incidents woven into the story,folk songs woven into a symphony
